;sentence1_DE;sentence2_DE;gold_label;sentence1;sentence2
10;Daher ist stets im Voraus die Rechtsabteilung zu Rate zu ziehen, wenn eine Vereinbarung möglicherweise eine Wettbewerbsbeschränkung in irgendeiner Form beinhaltet.;Es ist stets im Voraus die Rechtsabteilung zu Rate zu ziehen, wenn eine Vereinbarung möglicherweise eine Wettbewerbsbeschränkung in irgendeiner Form beinhaltet.;neutral;Therefore, the legal department should always be consulted in advance if an agreement may contain a restriction of competition in any form.;The legal department should always be consulted in advance if an agreement may contain a restriction of competition in any form.
11;Trotz der Durchführung der Datenverarbeitung durch den Dienstleister bleibt das Unternehmen der Verantwortliche, so dass der Dienstleister sorgfältig auszuwählen ist.;Trotz der Durchführung der Datenverarbeitung durch den Dienstleister bleibt der Verantwortliche als solcher Herr der Daten, sodass der Dienstleister sorgfältig auszuwählen ist.;neutral;Despite the data processing being carried out by the service provider, the company remains the controller, so the service provider must be selected carefully.;Despite the data processing being carried out by the service provider, the controller as such remains the master of the data, meaning that the service provider must be selected carefully.
12;Fahrzeuge sind auf den zugewiesenen Parkplätzen abzustellen.;Im Werksgelände sind die Fahrzeuge auf den zugewiesenen Parkplätzen abzustellen.;neutral;Vehicles must be parked in the allocated parking spaces.;Vehicles must be parked in the allocated parking spaces on the factory premises.
13;Das Beschaffungswesen und die daraus getroffenen Entscheidungen lassen sich klar nach den Kriterien Preis, Qualität, Ökologie und Service nachvollziehen.;Das Beschaffungswesen und die daraus getroffenen Entscheidungen lassen sich klar nach den Kriterien „ Preis “, „ Qualität “, „ Ökologie “ und „ Service “ nachvollziehen.;neutral;Procurement and the resulting decisions can be clearly traced according to the criteria of price, quality, ecology and service.;"Procurement and the resulting decisions can be clearly traced according to the criteria of ""price"", ""quality"", ""ecology"" and ""service""."
14;Der Lieferant führt auf Anforderung eine Erstmusterprüfung (Produktionsteileabnahmeverfahren) durch und bestätigt die Einhaltung aller Anforderungen gemäß Zeichnungen, Lastenheften, Normen, Spezifikationen und gesetzlichen Vorschriften.;Zu diesem Zweck führt der Lieferant eine Erstmusterprüfung (Produktionsteileabnahmeverfahren) durch und bestätigt die Einhaltung aller Anforderungen gemäß Zeichnungen, Lastenheften, Normen, Spezifikationen, Prüfvorschriften und gesetzlichen Vorschriften.;inconsistent;On request, the supplier shall carry out an initial sample inspection (production parts acceptance procedure) and confirm compliance with all requirements in accordance with drawings, specifications, standards, specifications and statutory regulations.;For this purpose, the supplier carries out an initial sample inspection (production parts acceptance procedure) and confirms compliance with all requirements in accordance with drawings, specifications, standards, specifications, test regulations and statutory regulations.
15;Bestimmte Strecken können nach § 57 ERegG als „ Besondere Schienenwege “ für die Nutzung von bestimmten Arten von Verkehrsleistungen ausgewiesen werden.;Bestimmte Strecken können gemäß § 57 ERegG als „ Besondere Schienenwege “ für die Nutzung durch bestimmte Arten von Verkehrsleistungen ausgewiesen werden.;neutral;"Certain routes can be designated as ""special rail routes"" for the use of certain types of transport services in accordance with Section 57 ERegG.";"Certain routes can be designated as ""special rail routes"" for use by certain types of transport services in accordance with Section 57 ERegG."
16;Die Fremdfirma ist verpflichtet, nur Personen einzusetzen, für die die gesetzlichen Melde- und Erlaubnisvorschriften erfüllt sind (z. B. Lohnsteuerkarte, Sozialversicherung, bei Ausländern ggf. Arbeitsgenehmigung).;Der Auftragnehmer ist verpflichtet nur Personen einzusetzen, für die die gesetzlichen Melde- und Erlaubnisvorschriften erfüllt sind (z. B. Lohnsteuerkarte, Sozialversicherung, bei Ausländern ggf. Arbeitsgenehmigung).;different context;The external company is obliged to only employ persons for whom the statutory registration and permit requirements have been met (e.g. income tax card, social security, work permit for foreigners if applicable).;The Contractor is obliged to employ only persons for whom the statutory registration and permit requirements have been met (e.g. income tax card, social security, work permit for foreigners if applicable).
17;Das signierende / beitretende Unternehmen verpflichtet sich, insbesondere durch Gestaltung und ggfs. Anpassung von Richtlinien und Prozessen darauf hinzuwirken, dass das Unternehmen den Grundsätzen dieser Mustermann AG Verhaltensrichtlinie entspricht.;Die Mustermann AG verpflichtet sich, insbesondere durch Gestaltung und ggfs. Anpassung von Richtlinien und Prozesses darauf hinzuwirken, dass das Unternehmen den Grundsätzen dieser Verhaltensrichtlinie entspricht.;different context;The signing / acceding company undertakes to work towards ensuring that the company complies with the principles of this Mustermann AG Code of Conduct, in particular by designing and, if necessary, adapting guidelines and processes.;Mustermann AG undertakes to work towards ensuring that the company complies with the principles of this Code of Conduct, in particular by designing and, if necessary, adapting guidelines and processes.
18;Ebenso ist es unabdingbar, dass sich Ihr Personal stets umwelt-, sicherheits- und gesundheitsbewusst verhält und Verbesserungsmöglichkeiten formuliert und somit aktiv an der stetigen Weiterentwicklung mitarbeitet.;Ebenso ist es unabdingbar, dass sich das Personal stets umwelt-, sicherheits- und gesundheitsbewusst verhält, Verbesserungsmöglichkeiten formuliert und somit aktiv an der stetigen Weiterentwicklung mitarbeitet.;neutral;It is also essential that your staff always behave in an environmentally, safety and health-conscious manner and formulate opportunities for improvement, thereby actively contributing to continuous further development.;It is also essential that staff always behave in an environmentally, safety and health-conscious manner, formulate opportunities for improvement and thus actively participate in continuous further development.
19;STÄNDIGE VERBESSERUNG VON PROZESSEN: Unbeachtet der Fähigkeitsanforderungen für die Prozessfähigkeit, wird die ständige Verbesserung mit höchster Priorität auf die signifikanten und kritischen Merkmale gelegt.;Unbeachtet der Fähigkeitsanforderungen für die Prozessfähigkeit, wird die ständige Verbesserung mit höchster Priorität auf die signifikanten und kritischen Merkmale gelegt.;neutral;CONTINUOUS PROCESS IMPROVEMENT: Regardless of the capability requirements for process capability, continuous improvement is prioritized on the significant and critical features.;Regardless of the capability requirements for process capability, continuous improvement is prioritized on the significant and critical features.
20;Der Lieferant stellt die Produkte gemäß den einschlägigen rechtlichen Anforderungen und Verordnungen (z. B.: EU Luftsicherheitsverordnung VO 300/2008) sicher zur Verladung als Luftfracht zur Verfügung, d. h. so, dass sie ohne zusätzlichen Aufwand für die Mustermann AG (Röntgen, Sniffern oder andere Kontrollen) und ohne zeitliche Verzögerung als Luftfracht befördert werden kann.;Der Lieferant hat die Produkte gemäß den einschlägigen rechtlichen Anforderungen und Verordnungen (z. B.: EU Luftsicherheitsverordnung VO 300/2008) sicher zur Verladung als Luftfracht zur Verfügung zu stellen, d. h. so, dass sie ohne zusätzlichen Aufwand für die Mustermann AG (Röntgen, Sniffern oder andere Kontrollen) und ohne zeitliche Verzögerung als Luftfracht befördert werden kann.;neutral;The supplier shall make the products available safely for loading as air freight in accordance with the relevant legal requirements and regulations (e.g.: EU Aviation Security Regulation VO 300/2008), i.e. in such a way that they can be transported as air freight without additional effort for Mustermann AG (X-rays, sniffing or other checks) and without delay.;The supplier must make the products available safely for loading as air freight in accordance with the relevant legal requirements and regulations (e.g.: EU Aviation Security Regulation VO 300/2008), i.e. in such a way that they can be transported as air freight without additional effort for Mustermann AG (X-rays, sniffing or other checks) and without delay.
21;Werden bei der Identifikationsprüfung und bei den Kontrollprüfungen keine Mängel festgestellt, werden die Kunststoffdichtungsbahnen zum Einbau freigegeben.;Werden bei der Identifikationsprüfung keine Mängel festgestellt, werden die Schweißzusätze zum Einbau freigegeben.;different context;If no defects are found during the identification test and the inspection tests, the geomembranes are approved for installation.;If no defects are found during the identification test, the welding consumables are released for installation.
22;Bauen Sie vor und hinter der Vulkanisierpresse Ihre Arbeitstische auf, denn nur so können die Gurtköpfe korrekt bearbeitet und ausgerichtet werden.;Bauen Sie vor und hinter dem Unterteil der Vulkanisierpresse Ihre Arbeitstische auf, denn nur so können die Gurtköpfe korrekt bearbeitet und ausgerichtet werden.;inconsistent;Set up your work tables in front of and behind the vulcanizing press, as this is the only way to correctly process and align the belt heads.;Set up your work tables in front of and behind the lower section of the vulcanizing press, as this is the only way to correctly process and align the belt heads.
23;Widerspricht der Lieferant nicht fristgemäß, wird der Lieferabruf / Bestellung sowohl hinsichtlich der bestellten Artikel und Mengen als auch Liefertermin / Zeitraum verbindlich.;Führt der Lieferant einen Lieferabruf / Bestellung nicht bzw. nicht vollständig zum vorgegebenen Liefertermin bzw. innerhalb des vorgegebenen Zeitraumes aus, gerät er insoweit in Lieferverzug.;different context;If the supplier does not object in due time, the delivery call-off / order shall become binding both with regard to the items and quantities ordered and the delivery date / period.;If the supplier does not execute a delivery call-off / order or does not execute it in full on the specified delivery date or within the specified period, it shall be in default of delivery in this respect.
24;Am Lagerort hat absolutes Rauchverbot zu herrschen.;Am Lagerort hat im Umkreis von 5 m absolutes Rauchverbot zu herrschen.;inconsistent;Smoking is absolutely prohibited at the storage location.;Smoking is absolutely prohibited within a radius of 5 m of the storage location.
25;Werksfremde Personen dürfen das Betriebsgelände nur mit Erlaubnis der Werks- oder Betriebsleitung betreten.;Werksfremde Personen dürfen das Betriebsgelände nur mit Erlaubnis des Auftraggebers betreten.;inconsistent;Persons from outside the plant may only enter the plant premises with the permission of the plant or plant management.;External persons may only enter the company premises with the permission of the client.
26;Überstunden sind nur zulässig, wenn sie auf freiwilliger Basis erbracht werden und 12 Stunden pro Woche nicht übersteigen, während den Beschäftigten nach sechs aufeinanderfolgenden Arbeitstagen mindestens ein freier Tag einzuräumen ist.;Überstunden sind nur zulässig, wenn sie auf freiwilliger Basis erbracht werden und 12 Stunden pro Woche nicht übersteigen.;neutral;Overtime is only permitted if it is worked on a voluntary basis and does not exceed 12 hours per week, while employees must be granted at least one day off after six consecutive working days.;Overtime is only permitted if it is worked on a voluntary basis and does not exceed 12 hours per week.
27;Sonstige Muster sind Produkte und Materialien, die nicht oder nicht vollständig unter serienmäßigen Bedingungen hergestellt worden sind (auch Prototypenteile).;Sonstige Muster sind Produkte und Materialien, die gemäß den Entwicklungszeichnungen, Spezifikationen und Lastenhefte aber nicht vollständig unter serienmäßigen Bedingungen hergestellt wurden.;inconsistent;Other samples are products and materials that have not been manufactured or not completely manufactured under series production conditions (including prototype parts).;Other samples are products and materials that have been manufactured in accordance with the development drawings, specifications and requirement specifications but not completely under series production conditions.
28;Werden bei der Identifikationsprüfung keine Mängel festgestellt, werden die Rohre und Rohrleitungsteile zum Einbau freigegeben.;Werden bei der Identifikationsprüfung keine Mängel festgestellt, werden die Bauteile zum Einbau freigegeben.;different context;If no defects are found during the identification check, the pipes and pipe components are released for installation.;If no defects are found during the identification check, the components are released for installation.
29;In begründeten Ausnahmefällen kann eine Ausweichverpackung (wie unter Kapitel 10 definiert) verwendet werden, jedoch nur in Abstimmung mit und nach Freigabe durch die Mustermann AG.;In begründeten Ausnahmefällen kann eine Ausweichverpackung (wie unter Kapitel 9 definiert) verwendet werden, jedoch nur in Abstimmung mit und nach Freigabe durch die Mustermann AG.;inconsistent;In justified exceptional cases, alternative packaging (as defined in section 10) may be used, but only in consultation with and after approval by Mustermann AG.;In justified exceptional cases, alternative packaging (as defined in section 9) may be used, but only in consultation with and after approval by Mustermann AG.
30;Zusätzlich zur Gefahrstoffsymbolik müssen alle Materialien und Verpackungseinheiten (z. B. Karton) mit der Mustermann AG Artikel Nr. etikettiert werden.;Zusätzlich zur Gefahrstoffsymbolik müssen alle Materialien und Verpackungseinheiten (z. B. Karton) mit einer Gefahrstoffnummer etikettiert werden.;contradiction;In addition to the hazardous substance symbol, all materials and packaging units (e.g. cardboard boxes) must be labeled with the Mustermann AG article number.;In addition to the hazardous substance symbol, all materials and packaging units (e.g. cardboard) must be labeled with a hazardous substance number.
31;Neue oder geänderte Programme dürfen erst in laufenden Systemen eingesetzt werden, wenn sie entsprechend den gültigen Änderungsmanagement-Prozessen erfolgreich getestet und freigegeben wurden.;Neue oder geänderte Programme dürfen erst in laufenden Systemen eingesetzt werden, wenn sie entsprechend den gültigen Changemanagement-Prozessen (siehe Anhang, A. 1.1) erfolgreich getestet und freigegeben wurden.;neutral;New or modified programs may only be used in running systems once they have been successfully tested and released in accordance with the applicable change management processes.;New or modified programs may only be used in running systems once they have been successfully tested and released in accordance with the applicable change management processes (see Appendix, A. 1.1).
32;Der Mustermann AG Beauftragte trägt dafür Sorge, dass Arbeitsunfälle unverzüglich als Schnellmeldung im Betriebsportal erfasst werden.;Der Mustermann AG Beauftragte trägt dafür Sorge, dass Arbeitsunfälle in die Ereignisdatenbank unverzüglich (spätestens innerhalb von 3 Arbeitstagen) eingegeben werden.;contradiction;The Mustermann AG representative shall ensure that accidents at work are immediately recorded in the company portal as a quick report.;The Mustermann AG representative shall ensure that accidents at work are entered into the incident database without delay (within 3 working days at the latest).
33;Alle Mitarbeiter sind für die Einhaltung dieser Richtlinie verantwortlich, und Verstöße werden entsprechend der lokalen Richtlinie zügig geahndet.;Alle Mitarbeiter sind zur Einhaltung dieser Richtlinie verpflichtet.;neutral;All employees are responsible for complying with this policy and violations will be dealt with swiftly in accordance with local policy.;All employees are obliged to comply with this policy.
34;Besichtigungen und Führungen erfordern das Einverständnis der Mustermann AG.;Für Besichtigungen und Führungen ist das Einverständnis der Mustermann AG einzuholen.;neutral;Visits and guided tours require the consent of Mustermann AG.;The consent of Mustermann AG must be obtained for visits and guided tours.
35;Der Lieferant haftet für alle aus einer Nichtbeachtung der gesetzlichen Vorschrift entstandenen Schäden.;Daneben ist der Lieferant gegenüber dem Abnehmer unter den gesetzlichen Voraussetzungen auch zum Ersatz sämtlicher durch den Mangel verursachter Schäden verpflichtet.;different context;The supplier shall be liable for all damages resulting from non-compliance with the statutory provisions.;In addition, the Supplier shall also be obliged to compensate the Customer for all damages caused by the defect, subject to the statutory requirements.
36;Das Rauchen ist grundsätzlich auf dem gesamten Werksgelände verboten.;Das Rauchen ist im gesamten Werksgelände verboten, außer in eigens festgelegten und gekennzeichneten Raucherbereichen.;contradiction;Smoking is generally prohibited on the entire factory premises.;Smoking is prohibited on the entire factory premises, except in specially designated and marked smoking areas.
37;VERSANDDOKUMENTE: Der Lieferant hat für ordnungsgemäß ausgefüllte Lieferpapiere zu sorgen.;Der Lieferant hat dafür Sorge zu tragen, dass ordnungsgemäß ausgefüllte Lieferpapiere vorliegen.;neutral;SHIPMENT DOCUMENTS: The supplier must ensure that the delivery documents are duly completed.;The supplier must ensure that properly completed delivery documents are available.
38;Die Verfügbarkeit des IT-Systems muss in Bezug auf Ausfall oder inakzeptable Antwortzeiten mindestens 98 % betragen.;Die Verfügbarkeit des IT-Systems muss in Bezug auf Ausfall oder inakzeptable Antwortzeiten mindestens 99 % betragen.;inconsistent;The availability of the IT system must be at least 98% in terms of failure or unacceptable response times.;The availability of the IT system must be at least 99% in terms of failure or unacceptable response times.
39;Unangemessenes Verhalten auch nur eines Mitarbeiters kann dem Unternehmen bereits erheblichen Schaden zufügen.;Unangemessenes Verhalten auch nur eines Mitarbeiters kann dem Unternehmen erheblichen Schaden zufügen.;neutral;Inappropriate behavior by even just one employee can cause considerable damage to the company.;Inappropriate behavior by even one employee can cause considerable damage to the company.
40;Änderungen des Liefergegenstandes bedürfen der Erstellung eines neuen Datenblattes welches an die Mustermann AG versendet werden muss.;Bei Änderungen des Liefergegenstandes muss ein neues Datenblatt erstellt und an die Mustermann AG versendet werden.;neutral;Changes to the delivery item require the creation of a new data sheet which must be sent to Mustermann AG.;In the event of changes to the delivery item, a new data sheet must be created and sent to Mustermann AG.
41;Sofern der Lieferant feststellt, dass Forderungen in der Bestellung den geltenden technischen Regeln widersprechen, ist vor der Leistungserbringung eine Klärung mit dem Mustermann AG Einkäufer herbeizuführen.;Sofern der Lieferant feststellt, dass Forderungen in der Bestellung den geltenden technischen Regeln der Branche widersprechen, so ist vor Leistungserbringung mit dem Einkauf der Mustermann AG eine Klärung herbeizuführen.;neutral;If the supplier establishes that requirements in the order contradict the applicable technical regulations, clarification must be sought with the Mustermann AG purchaser before the service is provided.;If the supplier establishes that requirements in the order contradict the applicable technical rules of the industry, clarification must be sought with the purchasing department of Mustermann AG before the service is provided.
42;Ohne eine Einwilligung des Betroffenen oder eine gesetzliche Zulässigkeit dürfen keine personenbezogenen Daten erhoben oder verarbeitet werden.;Ohne eine gesetzliche Zulässigkeit dürfen keine personenbezogenen Daten verarbeitet werden.;contradiction;No personal data may be collected or processed without the consent of the data subject or a legal authorization.;No personal data may be processed without legal authorization.
43;Mischgebinde: Sofern eine Palette oder ein Paket nicht sortenrein angeliefert wird, sind Artikel im Gebinde eindeutig differenzierbar anzuordnen und zu beschriften.;"Artikelreine Anlieferungen werden empfohlen, sind jedoch nicht zwingend erforderlich; Mischgebinde: Sofern eine Palette oder ein Paket nicht sortenrein angeliefert wird, sind Artikel im Gebinde eindeutig differenzierbar anzuordnen und zu beschriften.";neutral;Mixed containers: If a pallet or package is not delivered unmixed, items in the container must be clearly differentiated and labeled.;"Single-item deliveries are recommended, but are not mandatory; mixed containers: If a pallet or package is not delivered unmixed, items in the container must be clearly differentiated and labeled."
44;Im Falle einer Datenübermittlung von Dritten an das Unternehmen muss sichergestellt sein, dass die Daten für die vorgesehenen Zwecke verwendet werden dürfen.;Im Falle einer Datenübermittlung von Dritten an die Mustermann AG muss sichergestellt sein, dass die Daten für die vorgesehenen Zwecke verwendet werden dürfen.;different context;If data is transferred from third parties to the company, it must be ensured that the data may be used for the intended purposes.;In the event of data transfer from third parties to Mustermann AG, it must be ensured that the data may be used for the intended purposes.
45;Setzt der Auftragnehmer Subunternehmen ein, muss dafür eine Genehmigung eingeholt (Meldung der Subunternehmen über das Bestätigungsschreiben für Fremdfirmen) werden.;Setzt die Fremdfirma Subunternehmen ein, ist hierzu eine schriftliche Genehmigung einzuholen und das Subunternehmen über das vorliegende Merkblatt zu unterweisen.;different context;If the contractor uses subcontractors, approval must be obtained for this (notification of subcontractors via the confirmation letter for external companies).;If the external company uses subcontractors, written approval must be obtained and the subcontractor must be instructed about this information sheet.
46;Die Unterweisungen müssen in einer dem Mitarbeiter verständlichen Sprache durchgeführt werden und sind regelmäßig (Festlegung der Wiederholungsfristen auf Basis der AN-seitigen Gefährdungsbeurteilung) durchzuführen.;Die Unterweisungen müssen in einer dem Mitarbeiter verständlichen Sprache durchgeführt werden und sind regelmäßig (Festlegung der Wiederholungsfristen auf Basis der ANseitigen Gefährdungsbeurteilung) durchzuführen.;neutral;The instructions must be carried out in a language that the employee understands and must be carried out on a regular basis (definition of repetition periods based on the contractor's risk assessment).;The instructions must be carried out in a language that the employee understands and must be carried out on a regular basis (setting of repetition periods based on the employee's risk assessment).
47;Nach Beendigung der Arbeiten ist der Baustellenbereich in ordnungsgemäßem Zustand zu verlassen.;Nach Beendigung der Arbeiten ist der Baustellenbereich in ordnungsgemäßen Zustand zu verlassen.;neutral;After completion of the work, the construction site area must be left in proper condition.;After completion of the work, the construction site area must be left in an orderly condition.
48;Soweit bereits eine Genehmigung vorhanden ist, ist nachzuweisen, dass der beabsichtigte Umgang mit radioaktiven Stoffen auf dem Gelände der Mustermann AG rechtlich abgedeckt ist.;Soweit bereits eine Genehmigung vorhanden ist, ist nachzuweisen, dass der beabsichtigte Umgang mit radioaktiven Stoffen auf dem Messegelände rechtlich abgedeckt ist.;different context;If a license already exists, proof must be provided that the intended handling of radioactive materials on the premises of Mustermann AG is legally covered.;If a permit already exists, proof must be provided that the intended handling of radioactive materials on the exhibition grounds is legally covered.
49;Eine ausführliche Anleitung hinsichtlich der Schlüsselpunkte und Verfahren zum Abschluss von Joint Ventures wird separat in den Third Party Due Diligence Guidelines von Mustermann AG dargelegt, die Bestandteil dieser Richtlinie sind.;Informationen über die wichtigsten Punkte und Verfahren in Bezug auf karitative Spenden sind gesondert in den Third Party Due Diligence Guidelines von Mustermann AG enthalten, die Bestandteil dieser Richtlinie sind.;different context;Detailed guidance on the key points and procedures for entering into joint ventures is set out separately in Mustermann AG's Third Party Due Diligence Guidelines, which form part of this Policy.;Information on the key issues and procedures relating to charitable donations are set out separately in Mustermann AG's Third Party Due Diligence Guidelines, which form part of this Policy.
50;In einer Auktion wird auf Grundlage der vorliegenden Aufträge (Auftragslage) derjenige Preis festgestellt, zu dem der größte Umsatz bei minimalem Überhang unter Berücksichtigung der Marktlage mit einer möglichst geringen Abweichung zum letzten festgestellten Preis ausgeführt werden kann.;In einer Auktion ist grundsätzlich derjenige Preis festzustellen, zu dem der größte Umsatz bei minimalem Überhang unter Berücksichtigung der Marktlage mit einer möglichst geringen Abweichung zum letzten Preis ausgeführt werden kann.;inconsistent;In an auction, the price is determined on the basis of the existing orders (order situation) at which the largest turnover can be executed with a minimum overhang, taking into account the market situation with the smallest possible deviation from the last price determined.;In an auction, the price at which the largest turnover can be realized with the smallest possible deviation from the last price, taking into account the market situation, must be determined.
51;Nach Unfall- oder Schadensereignissen sind sofort alle notwendigen Maßnahmen zu ergreifen, um die Verletzten zu versorgen und etwaige Folgeschäden zu vermeiden.;Nach Unfall- oder Schadensereignissen sind seitens der Mustermann AG Betriebe / Einheiten sofort alle notwendigen Maßnahmen zu ergreifen, um Einsatz- und Rettungskräfte zu alarmieren, Verletzte zu versorgen und etwaige Folgeschäden zu vermeiden.;inconsistent;After accidents or incidents, all necessary measures must be taken immediately to care for the injured and prevent any consequential damage.;In the event of accidents or damage, Mustermann AG companies / units must immediately take all necessary measures to alert emergency and rescue services, care for injured persons and avoid any consequential damage.
52;Ein fertiger Behälter ist nach Absatz A. 17 (Anlage A) zu prüfen und muss die darin enthaltenen Vorschriften erfüllen.;Ein Behälter ist nach Absatz A. 21 (Anlage A) auf Durchdringung (Permeation) zu prüfen und muss die darin enthaltenen Vorschriften erfüllen.;different context;A finished container shall be tested in accordance with paragraph A. 17 (Appendix A) and shall comply with the requirements contained therein.;A container shall be tested for permeation in accordance with paragraph A. 21 (Appendix A) and shall comply with the requirements therein.
53;Der 8D Report muss alle Forderungen der VDA „ 8D - Problemlösung in 8 Disziplinen “ erfüllen.;Für die Erstellung des 8D Reports ist die 8D Report Vorlage zu verwenden, die die Forderungen der VDA „ 8D - Problemlösung in 8 Disziplinen “ Ausgabe November 2018 erfüllt.;inconsistent;"The 8D report must fulfill all requirements of the VDA "" 8D - Problem solving in 8 disciplines "".";"The 8D report template that meets the requirements of the VDA "" 8D - Problem solving in 8 disciplines "" November 2018 edition must be used to create the 8D report."
54;Der Lieferant stellt bei allen Lieferkonditionen gemäß Incoterms 2010 sicher, dass auch bei Verhängung von Fahrverboten die Warenanlieferung zu dem im Lieferabruf hinterlegten Anliefertermin sichergestellt ist.;Der Lieferant stellt sicher, dass auch bei Verhängung von Fahrverboten die Warenanlieferung sichergestellt ist.;inconsistent;For all delivery conditions in accordance with Incoterms 2010, the supplier shall ensure that the goods are delivered on the delivery date specified in the delivery call-off even if driving bans are imposed.;The supplier shall ensure that the delivery of goods is guaranteed even if driving bans are imposed.
55;Ausnahmen bedürfen der schriftlichen Genehmigung.;Sämtliche Ausnahmen erfordern eine gesonderte Genehmigung.;inconsistent;Exceptions require written approval.;All exceptions require a separate permit.
