;sentence1;sentence2;gold_label
28;Werden die Bauweisen D 1 bis 2 unterhalb einer Festen Fahrbahn angewendet, kann das jeweilige Dichtungselement im Bereich senkrecht unterhalb der Fahrbahn entfallen.;Werden die Bauweisen E 1 bzw. 2 unterhalb einer Festen Fahrbahn angewendet, kann das jeweilige Dichtungselement im Bereich senkrecht unterhalb des Regelaufbaus der Fahrbahn entfallen.;not_related
29;Sie sind verpflichtet, über alle Betriebs- und Geschäftsgeheimnisse, sowohl während der Dauer ihrer Tätigkeit, als auch nach deren Beendigung, Stillschweigen zu bewahren.;Generell haben Mitarbeiter über alle Betriebs- und Geschäftsgeheimnisse sowohl während der Dauer des Arbeitsverhältnisses als auch nach dessen Beendigung Stillschweigen zu bewahren.;neutral
30;Wo immer sich geschäftliche Interessen gegenüber stehen, kann es zu Interessenkonflikten kommen.;Wo immer sich geschäftliche Interessen gegenüberstehen, kann dies zu Interessenkonflikten führen.;neutral
31;Das Massekabel ist vom Auftragnehmer zuerst an die Arbeitsstelle heranzuführen, damit vagabundierende Schweißströme, welche das Erdungssystem der Maschinen und Anlagen zerstören können, vermieden werden.;Das Massekabel ist so nahe wie möglich an die Arbeitsstelle heranzuführen, damit vagabundierende Schweißströme, die das Erdungssystem unserer Maschinen und Anlagen zerstören, vermieden werden.;inconsistent
32;Bestehen im Einzelfall Anhaltspunkte für schutzwürdige Interessen oder für eine historische Bedeutung der Daten, müssen die Daten weiter gespeichert bleiben, bis das schutzwürdige Interesse rechtlich geklärt ist.;Bestehen im Einzelfall Anhaltspunkte für schutzwürdige Interessen der Daten, müssen die Daten gespeichert bleiben, bis das schutzwürdige Interesse rechtlich geklärt wurde bzw. durch die Mustermann AG geprüft werden konnte.;inconsistent
33;Jede dem Betriebsfrieden, der Ordnung und dem Arbeitszweck abträgliche Betätigung hat innerhalb des Betriebes zu unterbleiben.;Jede dem Betriebsfrieden, der Ordnung und dem Arbeitszweck abträgliche Betätigung muss innerhalb des Betriebes unterbleiben.;neutral
34;Dabei sind Dritte, die im Auftrag von Mustermann AG Umgang mit Amtsträgern und Gleichgestellten haben, zu verpflichten, die Antikorruptionsrichtlinie sowie den Code of Conduct zur Bekämpfung von Bestechung und Korruption zu lesen und zu bestätigen.;Dabei sind Dritte, die im Auftrag von Mustermann AG Umgang mit Amtsträgern und Gleichgestell- ten haben, zu verpflichten, die Antikorruptionsrichtlinie sowie den Code of Conduct zur Bekämpfung von Bestechung und Korruption zu lesen und zu bestätigen.;neutral
35;Die Arbeitsstelle ist ständig in einem ordentlichen Zustand zu halten und nach Abschluss der Arbeiten aufgeräumt und besenrein zu verlassen.;Halten Sie Ihre Arbeitsstelle ständig in einem ordentlichen Zustand und verlassen Sie sie nach Abschluss der Arbeiten aufgeräumt.;inconsistent
36;Das Massekabel ist an die Arbeitsstelle heranzuführen, damit vagabundierende Schweißströme, unsere Maschinen und Anlagen etc. nicht beschädigen oder sogar zerstören.;Das Massekabel ist so nahe wie möglich an die Arbeitsstelle heranzuführen, damit vagabundierende Schweißströme, die das Erdungssystem unserer Maschinen und Anlagen zerstören, vermieden werden.;inconsistent
37;Die Mitarbeitenden müssen jederzeit die Arbeit oder das Beschäftigungsverhältnis beenden können.;Jede Arbeit muss freiwillig sein und die Mitarbeitenden müssen jederzeit die Arbeit oder das Beschäftigungsverhältnis beenden können.;neutral
38;Der Lieferant sichert zu, über einen dokumentierten Prozess zur Lenkung und Umsetzung von Änderungen zu verfügen, welche das Produkt und die Herstellung beeinflussen.;Der Lieferant muss über einen dokumentierten Prozess zur Lenkung und Umsetzung von Änderungen verfügen.;inconsistent
39;Sollte sich herausstellen, dass die vereinbarten Maßnahmen nicht ausreichend sind, behält sich die Mustermann AG das Recht vor, die Einrichtung von Sicherheitsbeständen zu verlangen.;Sollte sich herausstellen, dass die vereinbarten Maßnahmen nicht ausreichend sind, behält sich die Mustermann AG das Recht vor, die Einrichtung von zusätzlichen Sicherheitsbeständen zu verlangen.;neutral
40;Stellt der Lieferant Mängel fest, von denen auch bereits zum Versand gebrachte Lieferungen betroffen sein könnten, muss der Lieferant der Mustermann AG unverzüglich informieren und die eingeleiteten Fehlerabstellmaßnahmen bekannt geben.;Stellt der Lieferant Fehler fest, von denen auch bereits zum Versand gebrachte Lieferungen betroffen sein könnten, muss er sofort die Mustermann AG Qualitätssicherung informieren und die Fehlerabstellmaßnahmen bekanntgeben.;inconsistent
41;Der Lieferant haftet für alle aus der Nichtbeachtung von gesetzlichen Vorschriften entstandene Schäden.;Der Lieferant haftet für alle aus einer Nichtbeachtung der gesetzlichen Vorschrift entstandenen Schäden.;neutral
42;Der Lieferant hält geltende Wettbewerbs- und Kartellgesetze ein.;Die Mustermann AG erwartet, dass seine Lieferanten sich im Wettbewerb fair verhalten und die geltenden Kartellgesetze beachten.;neutral
43;Unsere Führungskräfte verhalten sich gegenüber ihren Mitarbeitern wertschätzend und fördern das Zusammengehörigkeitsgefühl ihres Teams.;Unsere Führungskräfte verhalten sich gegenüber ihren Mitarbeiterinnen und Mitarbeitern wertschätzend und fördern das Zusammengehörigkeitsgefühl ihres Teams.;neutral
44;Ist eine Zertifizierung der Mitgliedsfirma nach DIN EN ISO 9001 oder DIN EN ISO 9002 durch eine akkreditierte Zertifizierungsstelle nicht nachgewiesen, so ist durch ein Audit der beauftragen Prüf- und Überwachungsstelle anhand des gültigen Fragenkatalogs der Mustermann AG die Qualitätsfähigkeit des Managementsystems nachzuweisen.;Ist eine Zertifizierung der Mitgliedsfirma nach DIN EN ISO 9001 oder DIN EN ISO 9002 durch eine akkreditierte Zertifizierungsstelle nicht nachgewiesen, ist jedoch der Nachweis eines Kundenaudits vorhanden, kann dies anerkannt werden, wenn es die wesentlichen Forderungen der DIN EN ISO 9001 oder DIN EN ISO 9002 erfüllt.;not_related
45;Prototypen müssen deutlich durch spezifische Anhänger und Aufkleber gekennzeichnet werden, um sie von Serienteilen deutlich zu unterscheiden.;Prototypen müssen deutlich durch spezifische Anhänger und Aufkleber gekennzeichnet werden.;neutral
46;Der Lieferant ist angehalten die Rückverfolgbarkeit der von ihm gelieferten Produkte sicherzustellen.;Der Lieferant verpflichtet sich, die Rückverfolgbarkeit der gelieferten Produkte sicherzustellen und diese entsprechend zu kennzeichnen.;inconsistent
47;Die Verwendung von Daten muss für den einzelnen Betroffenen transparent sein, wie auch die Rechte auf Auskunft und Berichtigung sowie auf Widerspruch, Sperrung und Löschung gewahrt werden.;Die Verwendung von Daten muss für den Betroffenen transparent sein, seine Rechte auf Auskunft und Berichtigung sowie gegebenenfalls auf Widerspruch, Sperrung und Löschung sind zu wahren.;contradiction
48;Email: imds@Mustermann AG Bei detaillierten Fragen geben Sie bitte immer die IMDS ID des MDB und Ihre Kontaktdaten mit an.;Email: imds@Mustermann AG Bei detaillierten Fragen geben Sie immer die IMDS ID des MDB und Ihre Kontaktdaten mit an.;neutral
49;Ebenso müssen Werkzeuge, Maschinen, Fahrzeuge und sonstige Geräte deutlich als Eigentum der Fremdfirmen kennzeichnet sein.;Werkzeuge, Maschinen, Fahrzeuge und sonstige Geräte müssen deutlich als Eigentum der Fremdfirmen gekennzeichnet sein.;neutral
50;Der Rückverfolgungsplan muss gemeinsam mit dem Qualitätsplan übermittelt und von der Mustermann AG freigegeben werden.;Der Rückverfolgungsplan ist gemeinsam mit dem Qualitätsplan zu übermitteln und von der Mustermann AG freizugeben.;neutral
51;Beim Umgang mit wassergefährdenden Stoffen ist sicherzustellen, dass keine Stoffe in die Kanalisation oder das Erdreich gelangen.;Beim Umgang (Verwendung / Lagerung) mit wassergefährdenden Stoffen ist sicherzustellen, dass keine solchen Stoffe in die Kanalisation oder das Erdreich gelangen können.;neutral
52;Wir gestalten alle Stufen der Produktion möglichst umweltverträglich und energetisch optimiert, um die Umweltbelastung und unseren Energieverbrauch zu minimieren.;Wir gestalten alle Stufen der Produktion möglichst umweltverträglich und energetisch optimiert, um die Umweltbelastung und unseren Energieverbrauch zu reduzieren.;neutral
53;Wir wählen Lieferanten und Dienstleister sorgfältig und nach sachlichen Kriterien aus.;Wir wählen Lieferanten und Dienstleister nach sachlichen Kriterien sorgfältig aus.;neutral
54;Die Lagerung und der Einsatz von Gefahrstoffen ist bei der Sicherheitsfachkraft vorher anzuzeigen (Sicherheitsdatenblatt).;Die Lagerung und der Einsatz von Gefahrstoffen ist dem Ansprechpartner / Auftraggeber vorher anzuzeigen (Sicherheitsdatenblatt).;inconsistent
55;Die Fremdfirma (Auftragnehmer) hat sich vor Beginn von Erdarbeiten im jeweiligen Arbeitsbereich über das Vorhandensein und den Verlauf von Kabeln, Erdleitungen, Rohrleitungen etc. zu informieren.;Die Fremdfirma (Auftragnehmer) hat sich vor Beginn von Erdarbeiten im jeweiligen Arbeitsbereich über das Vorhandensein und den Verlauf von Kabeln, Erdleitungen, Rohrleitungen zu informieren.;neutral
56;Für die Störungsklärung sind alle nötigen Informationen für mindestens zwei Wochen vorzuhalten und dem Netzbetreiber auf Anforderung auszuhändigen.;Für die Störungsklärung sind alle nötigen Informationen für mindestens zwei Wochen vorzuhalten und dem NB auf Anforderung auszuhändigen.;neutral
57;Die Bauteilzuordnung entbindet den Auftragnehmer nicht von seiner Produktverantwortung oder vertraglichen Verpflichtungen.;Die Bauweisenprüfung entbindet den Auftragnehmer nicht von seiner Produktverantwortung oder vertraglichen Verpflichtungen.;not_related
58;Der Lieferant verpflichtet sich die Zustimmung und Freigabe der Mustermann AG einzuholen, ob eine geplante Produkt- oder Prozessänderung durchgeführt werden kann.;Der Lieferant verpflichtet, sich die Zustimmung von Mustermann AG einzuholen, ob eine geplante Produkt- oder Prozessänderung durchgeführt werden kann.;inconsistent
59;Der Ausweis ist beim Betreten des Werkes unaufgefordert vorzuzeigen.;In den Werken ist der Ausweis gut sichtbar zu tragen.;not_related
60;Die Mitarbeiter haben über alle Betriebs- und Geschäftsgeheimnisse sowohl während der Dauer des Arbeitsverhältnisses als auch nach dessen Beendigung Stillschweigen zu bewahren.;Über alle Betriebs- und Geschäftsgeheimnisse ist sowohl während der Dauer der Tätigkeit als auch danach Stillschweigen zu bewahren.;neutral
61;Ausführliche Informationen über die wichtigsten Punkte und Verfahren bei der Beauftragung von Vermittlern sind gesondert in den Third Party Due Diligence Guidelines der Mustermann AG enthalten, die Bestandteil dieser Richtlinie sind.;Eine ausführliche Anleitung hinsichtlich der Schlüsselpunkte und Verfahren zum Abschluss von Joint Ventures wird separat in den Third Party Due Diligence Guidelines der Mustermann AG dargelegt, die Bestandteil dieser Richtlinie sind.;neutral
62;Der Lieferant muss mit einem Prozess sicherstellen, dass zu verschrottende Bauteile und Materialien vor der Entsorgung unbrauchbar gemacht werden.;Der Lieferant muss mit einem Prozess sicherstellen, dass zu verschrottende Bauteile vor der Entsorgung unbrauchbar gemacht werden.;inconsistent
63;Wenn ihre Tätigkeiten sich erheblich auf die Umwelt auswirken, sollen unsere Lieferanten eine effektive Umweltpolitik und / oder ein Umweltmanagementsystem haben.;Unsere Lieferanten, deren Tätigkeit signifikante Auswirkungen auf die Umwelt hat, sollen über eine effektive Umweltpolitik und / oder ein Umweltmanagementsystem verfügen, die zum Schutz der Umwelt beitragen.;neutral
64;Wir achten beim Kontakt mit Wettbewerbern darauf, dass keine Informationen entgegengenommen oder gegeben werden, die Rückschlüsse auf das gegenwärtige oder zukünftige geschäftliche Verhalten des Informationsgebers zulassen.;Achten Sie beim Kontakt mit Wettbewerbern darauf, dass keine Informationen entgegengenommen oder gegeben werden, die Rückschlüsse auf das gegenwärtige oder zukünftige geschäftliche Verhalten des Informationsgebers zulassen.;neutral
65;In einer Auktion wird auf Grundlage der vorliegenden Aufträge (Auftragslage) derjenige Preis festgestellt, zu dem der größte Umsatz bei minimalem Überhang unter Berücksichtigung der Marktlage mit einer möglichst geringen Abweichung zum letzten festgestellten Preis ausgeführt werden kann.;In einer Auktion ist grundsätzlich derjenige Preis festzustellen, zu dem der größte Umsatz bei minimalem Überhang unter Berücksichtigung der Marktlage mit einer möglichst geringen Abweichung zum letzten Preis ausgeführt werden kann.;inconsistent
66;Sicherheitshinweise: P101: Ist ärztlicher Rat erforderlich, Verpackung oder Kennzeichnungsetikett bereithalten.;Ist ärztlicher Rat erforderlich, Verpackung oder Kennzeichnungsetikett bereithalten.;neutral
67;Hierbei wird für den LIEFERANTEN für jede eingesetzte Mehrwegverpackung ein eigenes Leihgutkonto eingerichtet und geführt.;Hierbei wird für den LIEFERANTEN und jede eingesetzte Mehrwegverpackung ein eigenes Leihgutkonto eingerichtet und geführt.;neutral
68;Die Sicherheit unserer Mitarbeiter hat oberste Priorität.;Die Sicherheit unserer Mitarbeiter hat höchste Priorität.;neutral
69;Bei Änderungen und terminlichen Abweichungen sind die geänderten Projektpläne unverzüglich der Mustermann AG vorzulegen und sind freigabepflichtig.;Bei Änderungen und terminlichen Abweichungen sind die geänderten Projektpläne unverzüglich der Mustermann AG vorzulegen.;inconsistent
70;An Öffnungen in Böden, Decken und Dachflächen sowie Vertiefungen müssen Vorkehrungen getroffen werden, die ein Abstürzen, Hineinfallen oder Hineintreten von Personen verhindern.;An Öffnungen in Böden, Decken und Dachflächen sowie Vertiefungen müssen Einrichtungen vorhanden sein, die ein Abstürzen, Hineinfallen oder Hineintreten von Personen verhindern.;neutral
71;Absperreinrichtungen (Schieber o. ä.) dürfen nur in unmittelbarer Abstimmung mit der Mustermann AG Kontaktperson betätigt werden und nur nachdem die zuständigen Abteilungsleiter informiert wurden und der Maßnahme zugestimmt haben.;Die Betätigung einer Absperreinrichtungen (Schieber o. ä.) darf nur in unmittelbarer Abstimmung mit der Mustermann AG Kontaktperson erfolgen und nur nachdem die zuständigen Abteilungsleiter informiert wurden und dieser Maßnahme zugestimmt haben.;neutral
72;Änderungen werden hier in diesem Kapitel nur so lange festgehalten, wie in der aktuellen Revision eine Rückverfolgung respektive eine Nachkontrolle nötig ist.;Änderungen werden hier auf dieser Seite nur so lange festgehalten, wie in der aktuellen Revision eine Rückverfolgung resp. eine Nachkontrolle nötig ist.;not_related
73;Flucht: Beim Ertönen eines Warnsignals (Sirene, Hupe ), z. B. im Falle eines Brandes, müssen die Gebäude sofort über die nächstliegenden Rettungswege und Notausgänge verlassen werden.;Beim Ertönen eines Warnsignals (Sirene, Hupe ), z. B. im Falle eines Brandes, müssen die Gebäude sofort über die nächstliegenden Rettungswege, Notausgänge und Nottreppenhäuser verlassen werden.;inconsistent
74;Jeder Beschäftigte muss die gesetzlichen Bestimmungen, die seine Arbeit betreffen, kennen, sie beachten und die jeweiligen Regelungen auch seinen Mitarbeitern vermitteln.;Jeder Beschäftigte sollte die gesetzlichen Bestimmungen, die seine Arbeit betreffen, kennen und achten.;inconsistent
75;Der Verlust des Dienstausweises ist vom Inhaber sofort dem Portier zu melden.;Der Verlust eines Dienstausweises muss vom Inhaber umgehend dem Portier gemeldet werden.;neutral
76;Soweit bei den vorgesehenen Arbeiten das Tragen persönlicher Schutzausrüstung notwendig oder vorgeschrieben ist, muss der Fremdunternehmer diese seinen Mitarbeitern in ausreichender Menge zu Verfügung stellen.;Soweit bei den Arbeiten das Tragen sonstiger persönlicher Schutzausrüstung notwendig oder vorgeschrieben ist, muss der Fremdunternehmer diese seinen Mitarbeitern in ausreichender Menge zur Verfügung stellen.;neutral
77;Bei negativen Ergebnissen muss der Lieferant unverzüglich mit der Mustermann AG Kontakt aufnehmen.;Bei negativen Prüfergebnissen muss der Lieferant unverzüglich mit der Mustermann AG Kontakt aufnehmen.;neutral
78;Werden personenbezogene Daten mit dem Ziel verarbeitet, eine automatisierte Einzelentscheidung zu treffen, müssen die berechtigten Interessen des Betroffenen durch geeignete Maßnahmen gewährleistet werden.;Werden personenbezogene Daten mit dem Ziel übermittelt und ggf. verarbeitet, eine automatisierte Einzelentscheidung zu treffen, müssen die berechtigten Interessen des Betroffenen durch geeignete Maßnahmen gewährleistet werden.;neutral
79;Alle Vorstände, Geschäftsleitungen und Mitarbeiter sind daher insbesondere zur Beachtung der Regelungen dieser Compliance-Richtlinie verpflichtet.;Alle Vorstände, Geschäftsleitungen und Mitarbeiter sind daher zur Beachtung der Regelungen dieser Compliance-Richtlinie verpflichtet.;neutral
80;Verfahren zur Überwachung und Durchsetzung der Normen sind anzuwenden, um die Einhaltung der Antikorruptionsgesetze zu gewährleisten.;Es sind Verfahren zur Überwachung und Durchsetzung der Normen anzuwenden, um die Einhaltung der Antikorruptionsgesetze zu gewährleisten.;neutral
81;Der Compliance Beauftragte ist dem für Compliance zuständigen Mitglied des Vorstands zugeordnet und arbeitet mit diesem zusammen.;Der Compliance Beauftragte führt auf Weisung des für Compliance zuständigen Vorstandsmitglieds entsprechende Maßnahmen aus.;not_related
82;Der Umgang und die Lagerung von wassergefährdenden Stoffen sind so auszuführen, dass Boden-, Wasser- und Grundwasserverunreinigungen auszuschließen sind.;Der Umgang und die Lagerung von wassergefährdenden Stoffen ist so auszuführen, dass Boden-, Wasser- und Grundwasserverunreinigungen sicher auszuschließen sind.;neutral
83;Die Anmeldung von Wochenendarbeiten auf der Werft durch die Partnerfirma erfolgt durch das Formular Arbeitszeitvoranmeldung Partnerfirmen gemäß Kapitel 7 Mitgeltende Unterlagen.;Die Meldung der Personalstärke auf der Werft erfolgt durch das Formular Arbeitszeitvoranmeldung Partnerfirmen gemäß Kapitel 9 Mitgeltende Unterlagen.;not_related
84;Für die Mustermann AG hat der AN sicherzustellen, dass die erforderlichen Anforderungen erfüllt werden und die entsprechenden Nachweise vorhanden sind.;Für die Mustermann AG hat der AN sicherzustellen, dass die erforderlichen Anforderungen erfüllt werden und die erforderlichen Nachweise vorhanden sind.;neutral
85;Gemäß Arbeitsschutzgesetz haben Sie zur Verhütung von Arbeitsunfällen Maßnahmen zu treffen, die den Bestimmungen der berufsgenossenschaftlichen Regelwerke und im Übrigen den allgemein anerkannten sicherheitstechnischen und arbeitsmedizinischen Regeln entsprechen.;Gemäß Arbeitsschutzgesetz hat der Auftragnehmer zur Verhütung von Arbeitsunfällen Maßnahmen zu treffen, die den Bestimmungen der Unfallverhütungsvorschriften und im Übrigen den allgemein anerkannten sicherheitstechnischen und arbeitsmedizinischen Regeln entsprechen.;not_related
86;Die Lagerung und der Einsatz von Gefahrstoffen ist bei der Sicherheitsfachkraft vorher anzuzeigen (Sicherheitsdatenblatt).;Die Lagerung und der Einsatz von Gefahrstoffen ist mit dem Koordinator vorher abzustimmen (Sicherheitsdatenblatt).;inconsistent
87;Für den Umgang mit Gefahrstoffen gilt die Gefahrstoffverordnung.;Für den Umgang mit Gefahrstoffen gilt die Gefahrstoffverordnung (GefStoffV).;neutral
